	THP1_0H	THP1_0H_2	THP1_0H_3	Avg_expression	log2
SERPING1	122.336316	145.1506921	168.1425852	145.2098644	7.181995652
ULK2	144.8062516	149.4965212	141.3372455	145.2133394	7.182030177
GNA11	150.6317905	163.4031743	121.842453	145.2924726	7.182816151
SYDE2	164.7795277	125.1598782	146.2109436	145.3834498	7.183719235
MMAA	127.329635	126.8982098	181.9513965	145.3930805	7.1838148
COQ10A	144.8062516	146.0198579	145.3986606	145.4082567	7.183965382
METRNL	115.6785573	122.5523807	198.1970569	145.4759983	7.184637336
P4HA2	139.8129326	152.9731844	143.7740946	145.5200705	7.185074337
ATE1	136.4840532	159.0573452	141.3372455	145.6262147	7.186126273
LOC100505873	128.9940747	139.0665313	168.9548682	145.6718247	7.186578054
ZNF222	153.12845	130.3748731	153.5214908	145.674938	7.186608886
ANKHD1	156.4573293	138.1973655	142.9618116	145.8721688	7.188560845
ZNF256	133.1551739	161.6648427	142.9618116	145.927276	7.18910576
RAB20	124.8329755	129.5057073	183.5759626	145.9715485	7.189543388
RAD9B	159.7862087	156.4498477	121.842453	146.0261698	7.190083132
ECE2	138.9807128	169.487335	129.9652832	146.1444437	7.19125117
LOC644075	129.8262946	151.2348528	157.5829059	146.2146844	7.191944399
FAM201A	148.9673508	159.926511	129.9652832	146.2863817	7.19265166
LOC653160	131.4907342	141.6740288	165.7057361	146.2901664	7.192688985
LOC100507111	137.3162731	165.1415059	136.4635474	146.3071088	7.192856059
LOC728715	150.6317905	148.6273553	139.7126795	146.3239418	7.193022035
LOC100506233	154.7928897	150.365687	134.0266983	146.3950917	7.193723373
PLAG1	145.6384715	129.5057073	164.0811701	146.4084496	7.193855007
METTL21D	163.9473079	127.7673756	147.8355097	146.5167311	7.194921608
SH3TC2	146.4706913	106.9073959	186.8250947	146.734394	7.197063262
LYSMD2	148.9673508	160.7956768	130.7775663	146.8468646	7.198168652
LOC100133991	140.6451524	152.1040186	147.8355097	146.8615602	7.198313022
B4GALT4	147.3029111	162.5340085	130.7775663	146.8714953	7.198410616
FAM84B	122.336316	122.5523807	196.5724909	147.1537292	7.201180294
LOC100132891	169.7728467	94.73907446	177.0776984	147.1965399	7.201599948
CD101	139.8129326	145.1506921	156.7706229	147.2447492	7.202072378
CNRIP1	156.4573293	154.7115161	130.7775663	147.3154706	7.202765135
SPDYE8P	131.4907342	152.9731844	157.5829059	147.3489415	7.203092887
DNAH6	172.2695062	88.65491371	181.1391135	147.3545112	7.203147418
ANXA2P2	158.121769	156.4498477	127.5284342	147.3666836	7.203266589
PCDHB14	162.2828682	121.6832149	158.3951889	147.4537573	7.204118775
NSUN3	162.2828682	124.2907124	155.9583399	147.5106401	7.204675212
ZSWIM4	140.6451524	158.1881794	143.7740946	147.5358088	7.204921347
ARL3	121.5040962	166.8798376	154.3337738	147.5725692	7.205280768
SLC7A5P2	143.9740318	151.2348528	147.8355097	147.6814648	7.206344957
LOC202781	143.9740318	139.9356971	159.207472	147.7057336	7.206582019
STAG3	128.1618549	159.0573452	155.9583399	147.7258467	7.206778457
KIF27	170.6050666	95.60824028	177.0776984	147.7636684	7.207147778
BTRC	137.3162731	146.8890237	159.207472	147.8042563	7.207544004
