"","THP1_0H","THP1_0H_2","THP1_0H_3","THP1_16H","THP1_16H_2","THP1_16H_3"
"GJA4",4,5,1,3,6,3
"C1orf212",927,904,928,642,777,697
"DLGAP3",14,9,6,8,10,9
"LOC653160",158,163,204,160,165,139
"ZMYM6NB",518,555,512,375,417,423
"ZMYM6",1268,969,1381,736,809,836
"ZMYM1",790,554,708,444,449,525
"LOC100506168",5391,3866,6577,3832,4055,4483
"SFPQ",17857,16435,15728,14189,16112,16341
"ZMYM4",5270,3850,5440,6600,7564,7398
"KIAA0319L",3328,3545,3477,2680,2882,2799
"NCDN",1288,1318,1488,968,933,1000
"TFAP2E",332,337,354,124,123,143
"PSMB2",3622,3673,3318,3810,4178,3990
"C1orf216",702,767,815,503,537,552
"CLSPN",2035,1646,1846,2156,2509,2607
"EIF2C4",3377,3362,3657,766,966,943
"EIF2C1",1835,1893,2218,1179,1330,1223
"EIF2C3",379,353,387,856,899,860
"TEKT2",8,11,14,28,28,48
"ADPRHL2",737,732,641,1784,1960,1746
"COL8A2",2882,2940,2693,435,441,410
"TRAPPC3",1336,1479,1384,1118,1296,1168
"MAP7D1",2851,2933,2767,5173,5227,5483
"THRAP3",8731,8598,8008,7256,8319,8354
"SH3D21",180,158,241,177,227,222
"FAM176B",92,90,118,117,87,70
"STK40",2045,2082,2406,4457,4515,4635
"LOC100506594",2,2,1,11,6,4
"LSM10",657,595,701,748,665,663
"OSCP1",49,50,43,12,6,11
"MRPS15",1146,1163,1108,720,813,713
"CSF3R",8246,8429,10394,4039,4271,4408
"GRIK3",0,0,0,0,0,0
"MIR4255",0,0,0,0,0,0
"LOC728431",46,46,59,358,352,302
"ZC3H12A",424,433,470,2984,3088,3130
"MEAF6",1368,1434,1378,612,758,733
"SNIP1",729,714,648,634,755,752
"DNALI1",3,1,9,2,1,1
"GNL2",2985,2679,2798,2079,2326,2195
"RSPO1",91,105,112,26,22,28
"C1orf109",609,730,643,260,334,324
"CDCA8",2454,2497,1613,1222,1408,1305
"EPHA10",4,2,7,1,0,1
"MANEAL",256,300,227,145,114,146
"YRDC",349,398,361,430,443,420
"C1orf122",302,327,288,458,424,385
"MTF1",1909,1829,2237,3595,3908,4057
"INPP5B",2038,2054,2216,1108,1295,1187
"SF3A3",4614,4542,4384,2406,2744,2662
"FHL3",336,304,494,841,852,854
"UTP11L",1257,1258,1298,735,866,810
"POU3F1",1,6,3,1,1,0
"MIR3659",0,0,0,0,0,0
"LOC339442",0,0,0,0,0,0
"RRAGC",693,675,670,725,900,821
"GJA9-MYCBP",4,5,4,3,5,6
"MYCBP",7,14,16,5,2,5
"GJA9",0,0,0,0,0,0
