Entry	Gene names	yourlist:M20200923E5A08BB0B2D1C45B0C7BC3B55FD26556BA4708Z
O60239	SH3BP5 SAB	9467
Q9H106	SIRPD PTPNS1L2	128646
Q96SK3	ZNF607	84775
Q6T4R5	NHS	4810
P20061	TCN1 TC1	6947
Q14314	FGL2	10875
Q6DJT9	PLAG1	5324
Q92781	RDH5 HSD17B9 RDH1 SDR9C5	5959
P08571	CD14	929
P36544	CHRNA7 NACHRA7	89832
Q494W8	CHRFAM7A	89832
Q8N4Y2	CRACR2B EFCAB4A	283229
Q9UQ07	MOK RAGE RAGE1	5891
P34931	HSPA1L	3305
Q6PEZ8	PODNL1 SLRR5B	79883
O60516	EIF4EBP3	8637
Q8TAI1	TYMSOS C18orf56	494514
Q96RQ9	IL4I1 FIG1 UNQ636/PRO1265	259307
Q008S8	ECT2L C6orf91 LFDH	345930
Q9NPC1	LTB4R2 BLT2R BLTR2	56413
Q5JU67	CFAP157 C9orf117	286207
Q6L9W6	B4GALNT3	283358
Q8TAF7	ZNF461 GIOT1	92283
O95600	KLF8 BKLF3 ZNF741	11279
P56703	WNT3 INT4	7473
P61587	RND3 ARHE RHO8 RHOE	390
F5H284	PPIAL4D	645142
A6NEQ2	FAM181B	220382
Q7Z443	PKD1L3	342372
Q9UIH9	KLF15 KKLF	28999
Q9H693	C16orf95	100506581
Q8N812	C12orf76	400073
Q12866	MERTK MER	10461
P20823	HNF1A TCF1	6927
Q8TD20	SLC2A12 GLUT12	154091
Q5BIV9	SPRN SHO	503542
Q96MY7	FAM161B C14orf44	145483
Q6ZSY5	PPP1R3F	89801
A0PJX2	TLDC2	140711
Q96KK3	KCNS1	3787
A6NIY4	SPDYE5	442590
Q6EMK4	VASN SLITL2 UNQ314/PRO357/PRO1282	114990
Q9UMX3	BOK BCL2L9	666
Q5T4W7	ARTN EVN	9048
P61371	ISL1	3670
Q92526	CCT6B	10693
P05787	KRT8 CYK8	3856
Q14563	SEMA3A SEMAD	10371
P21709	EPHA1 EPH EPHT EPHT1	2041
P40424	PBX1 PRL	5087
Q0VD86	INCA1 HSD45	388324
O95072	REC8 REC8L1	9985
Q8NEA4	FBXO36 FBX36	130888
Q9P2D8	UNC79 KIAA1409	57578
Q7Z6G3	NECAB2 EFCBP2	54550
P35247	SFTPD COLEC7 PSPD SFTP4	6441
Q8TAD2	IL17D UNQ3096/PRO21175	53342
Q13643	FHL3 SLIM2	2275
Q02325	PLGLB1 PLGL PRGB; PLGLB2 PLGP1	5342
Q9NP90	RAB9B RAB9L	51209
A6NJT0	UNCX UNCX4.1	340260
Q9H9R9	DBNDD1	79007
