	CL.1.1	CL.1.2	CL.2.1	CL.2.2	CL.3.1	CL.3.2	Average	log2
6770	390.0643	328.6221	552.7496	561.8402	579.5758	564.4493	496.2168833	8.954827012
55020	281.8952	289.5779	622.281	604.9046	601.9149	577.4751	496.34145	8.95518913
36	688.3488	745.0937	351.6588	382.0714	421.961	389.5321	496.4443	8.955488049
283149	193.3932	182.2063	638.2883	684.023	654.0395	627.097	496.5078833	8.955672814
284106	272.0617	273.3095	616.7786	602.9016	629.8388	588.0197	497.15165	8.957542185
3428	927.631972	813.4210281	307.1387123	316.974038	317.0912675	302.0734214	497.3884065	8.95822907
9885	455.6214	475.0379	520.7352	481.7204	528.6923	524.1315	497.65645	8.959006332
85012	698.1824	657.2442	419.6895	426.638	384.7291	399.4564	497.6566	8.959006767
8648	590.0133	520.5895	436.6972	472.2062	487.7373	478.8515	497.6825	8.959081848
90933	491.6777	364.4126	529.239	536.302	527.4512	542.1194	498.53365	8.961547077
6621	186.8375	169.1916	661.2987	654.4788	657.7627	663.0729	498.7737	8.962241585
255520	626.0696	657.2442	427.6932	418.1253	443.6796	419.9255	498.7895667	8.962287478
10229	478.5663	481.5452	515.2327	488.2302	514.4201	514.8274	498.80365	8.962328212
131566	553.9569	491.3063	479.2164	491.7354	494.5631	483.1934	498.99525	8.962882272
9473	449.0656543	435.993671	550.7487332	518.2750858	513.1790181	527.8531451	499.1858846	8.96343333
54585	750.628	702.7958	421.1902	353.028	402.104	365.9616	499.2846	8.963718598
23051	383.5086	335.1295	558.7523	586.3769	587.6427	545.8411	499.54185	8.964461737
7464	272.0617	325.3684	581.7627	599.3964	621.1514	598.5644	499.7175	8.964968932
252839	376.9529215	419.7252505	547.7473777	562.3409868	564.0625483	528.473419	499.8837506	8.965448821
283635	898.1313	871.9873	297.1342	293.9396	309.0244	329.3655	499.9303833	8.965583399
10636	219.616	302.5926	624.7822	621.9301	634.8031	597.9441	500.2780167	8.966586248
80063	583.4576	543.3652	474.7144	447.1687	487.1167	467.6866	500.5848667	8.967470867
55722	429.3985	367.6663	565.7555	561.3395	540.4824	539.0181	500.61005	8.967543444
339804	970.244	858.9726	302.6367	296.9441	296.6137	278.503	500.65235	8.967665342
90488	688.3488	683.2737	380.6719	401.0998	431.2689	419.9255	500.7647667	8.967989249
353500	98.33554473	68.32736636	719.8250928	734.097851	689.4097813	695.3271159	500.8871253	8.968341719
60509	262.2281	263.5484	610.2756	606.4069	615.5666	648.1863	501.0353167	8.968768489
140901	291.7288	344.8905	588.2657	584.3739	605.0176	594.8427	501.5198667	8.970163041
51526	537.5676	484.7989	526.7379	498.7459	493.322	468.9271	501.6832333	8.970632913
90806	612.9582288	530.3505103	467.7112312	453.177732	481.5319444	465.2054745	501.8225202	8.971033406
25845	521.1784	501.0674	504.7279	517.7743	515.0406	453.4203	502.2014833	8.97212248
91860	721.1273	712.5568	377.6706	406.1073	412.0325	388.9118	503.0677167	8.9746088
